rewire_id,post,true_label,n_triples_retrieved,kg_context,explanation,Relevance,Consistency,Usefulness
sexism2022_english-19056,"I actually don't think so, females have very recognizable argument tactics. The bait and switch, the cognitive dissonance, the ""gotcha"" misdirection, it all reads roastie lizard brain, imo",2. derogation,3,"-(female species, EXPRESSED_ANIMOSITY_TOWARDS, arguing)(relevance: 0.6820786595344543)
-(female mind, FRAMED_AS_INFERIOR, in disagreement)(relevance: 0.6271615028381348)
-(female logic, IDEOLOGICALLY_DISCREDITED, flawed reasoning)(relevance: 0.6171666979789734)","This post falls under ""2. derogation"" because it attributes negative and simplistic ""argument tactics"" like ""bait and switch"" and ""gotcha misdirection"" to females, which is a form of generalization and belittling. This aligns with the knowledge graph relation ""female logic, IDEOLOGICALLY_DISCREDITED, flawed reasoning,"" as the post implies female arguments are inherently flawed and manipulative, rather than engaging with them substantively. The phrase ""roastie lizard brain"" further dehumanizes and ridicules the perceived thought processes of women.",3,2,3
sexism2022_english-16758,TFM? Anti male agenda is very much at large. More and more men will see this when they become fed up with the modern day female.,4. prejudiced discussions,3,"-(male feminists, EXPRESSED_ANIMOSITY_TOWARDS, those who rail against what they secretly are)(relevance: 0.5424293875694275)
-(feminists, FRAMED_AS_INFERIOR, trying to annihilate male sex)(relevance: 0.5270202159881592)
-(women, STEREOTYPED_AS, hidden agenda)(relevance: 0.5221695303916931)","This post falls under ""4. prejudiced discussions"" because it expresses animosity towards women and promotes a prejudiced view of their intentions. Phrases like ""Anti male agenda"" and ""modern day female"" suggest a generalized negative sentiment towards women, aligning with the knowledge graph relation where ""feminists"" are ""FRAMED_AS_INFERIOR, trying to annihilate male sex"" and ""women"" are ""STEREOTYPED_AS, hidden agenda"". The post implies women collectively have a negative agenda against men, which is a prejudiced generalization.",2,2,3
sexism2022_english-404,"A woman sends that to a man and she's brave, strong, independent. A man sends that text to a woman and there's criminal charges.",4. prejudiced discussions,3,"-(women, THREATENED_WITH, voice messages)(relevance: 0.4876921772956848)
-(women, STEREOTYPED_AS, writing messages on bodies)(relevance: 0.47971779108047485)
-(woman, FRAMED_AS_INFERIOR, easily gets another man to simp for her)(relevance: 0.4751124680042267)","This post falls under ""4. prejudiced discussions"" because it perpetuates a harmful double standard based on gender, implying men are inherently more suspect or criminal in their communication. The phrase ""there's criminal charges"" when a man sends ""that text"" (referring to an unspecified action) to a woman, contrasts with the positive framing of a woman doing the same (""brave, strong, independent""), highlighting a prejudiced view of male intent. While the provided knowledge graph doesn't directly map to the specific act of sending a text, it illustrates similar patterns of stereotyping women and framing them as victims or in specific, often negative, roles that could be amplified by such a prejudiced discussion.",1,3,3
sexism2022_english-19155,That racist cunt would be in Africa eating mud pies and nursing her 8th child from the 8th man who raped her if it werent for our White Culture and assistance to these ungrateful negros,2. derogation,3,"-(black bitches, EXPRESSED_ANIMOSITY_TOWARDS, race of woman)(relevance: 0.5305619239807129)
-(white women, STEREOTYPED_AS, dopey cunt)(relevance: 0.4948285222053528)
-(her, STEREOTYPED_AS, cunt)(relevance: 0.4828411936759949)","This post is classified as ""2. derogation"" because it uses extremely offensive and dehumanizing language to insult and demean a specific group of people. The use of terms like ""racist cunt"" and ""ungrateful negros"" directly aligns with the knowledge graph's identification of derogatory language directed towards women and racial groups, such as ""black bitches"" being associated with ""EXPRESSED_ANIMOSITY_TOWARDS"" their race. Furthermore, the post stereotypes the targeted individuals as being inherently inferior and dependent on ""White Culture,"" which is a hallmark of derogatory content.",3,3,3
sexism2022_english-146,That hug could turn into a false sexual assault or rape conviction down the road....this is damn good advice for men...never touch any girl or woman....let them wither on the vine from lack of attention.,4. prejudiced discussions,3,"-(daughter, EXPRESSED_ANIMOSITY_TOWARDS, hug)(relevance: 0.5418060421943665)
-(women, THREATENED_WITH, touch her boobs)(relevance: 0.4629696011543274)
-(men, EXPRESSED_ANIMOSITY_TOWARDS, sexual assault)(relevance: 0.43444859981536865)","The post exemplifies ""prejudiced discussions"" by framing interactions with women as inherently risky and advocating for complete avoidance. Phrases like ""false sexual assault or rape conviction"" and ""never touch any girl or woman"" promote a generalization that all male-female physical contact is a potential precursor to false accusations, reflecting animosity towards physical affection. This aligns with the knowledge graph's indication of ""women, THREATENED_WITH, touch her boobs,"" but escalates it to a broader, prejudicial stance against any physical interaction.",2,2,3
sexism2022_english-2940,Raising women and children is demeaning. Allowing strangers to fuck you at will and aborting their unborn children with no consequences of fatherhood is empowering. #feminismiscancer,4. prejudiced discussions,3,"-(feminism, FRAMED_AS_INFERIOR, promoting abortion of female foetus)(relevance: 0.7324796915054321)
-(empowered women, FRAMED_AS_INFERIOR, refuse to birth babies)(relevance: 0.6374016404151917)
-(feminism, FRAMED_AS_INFERIOR, radical notion)(relevance: 0.5984019041061401)","This post exemplifies ""4. prejudiced discussions"" by framing feminism as inherently harmful and negative, aligning with the knowledge graph relation that feminism is ""FRAMED_AS_INFERIOR"" as a ""radical notion."" The phrases ""feminismiscancer"" and the accusation of empowering women through ""allowing strangers to fuck you at will and aborting their unborn children with no consequences of fatherhood"" directly attack feminist ideals and women's reproductive choices, portraying them as destructive and morally reprehensible. This prejudiced framing, reinforced by the knowledge graph's depiction of feminism being associated with negative actions like ""promoting abortion of female foetus"" and empowered women being depicted as ""refuse to birth babies,"" solidifies its classification under this category.",3,3,3
sexism2022_english-5214,I think that the issue is she's bitching about others who make more when it was her own choices that made her earn less.,3. animosity,3,"-(the bitch, FRAMED_AS_INFERIOR, financially reward)(relevance: 0.5650638937950134)
-(oprah, EXPRESSED_ANIMOSITY_TOWARDS, bitch)(relevance: 0.5592237114906311)
-(women, EXPRESSED_ANIMOSITY_TOWARDS, maximizing profits)(relevance: 0.5426060557365417)","The post exemplifies ""animosity"" by expressing direct hostility and contempt towards an individual. The phrase ""she's bitching"" is a derogatory term that directly aligns with the knowledge graph relation of ""(oprah, EXPRESSED_ANIMOSITY_TOWARDS, bitch)"". Furthermore, the sentiment implies that the subject's complaints are baseless and a result of her own perceived failings, framing her as inferior in a financial context, similar to ""(the bitch, FRAMED_AS_INFERIOR, financially reward)"".",2,2,2
sexism2022_english-8926,F - FACE: Has it fallen on one side? A - ARMS: Can they raise them? S - SPEECH: Is it slurred? T - TIME... to get her knickers down. The rohypnol has kicked in.,"1. threats, plans to harm and incitement",3,"-(women, THREATENED_WITH, series of slaps to the cheek)(relevance: 0.43877658247947693)
-(her face, THREATENED_WITH, dick slap)(relevance: 0.43416035175323486)
-(skank, THREATENED_WITH, kick her a few new holes in her ass)(relevance: 0.433063268661499)","The post is classified under ""threats, plans to harm and incitement"" due to the explicit mention of ""rohypnol has kicked in"" and the sexual innuendo ""time... to get her knickers down."" This directly implies a plan to incapacitate and sexually assault a woman, aligning with the spirit of harmful threats as seen in relations like ""(her face, THREATENED_WITH, dick slap)"" which indicate the intent to inflict harm and non-consensual acts.",3,3,3
sexism2022_english-17780,I just bought a smart car. It doesn't turn on when the wife is in the driving seat.,3. animosity,2,"-(women, EXPRESSED_ANIMOSITY_TOWARDS, less smart ones)(relevance: 0.3433997631072998)
-(smart women, EXPRESSED_ANIMOSITY_TOWARDS, weak men)(relevance: 0.33504462242126465)","The post exhibits animosity by implying that women are inherently less capable drivers, specifically that a ""smart car"" malfunctions solely due to the wife's presence. This aligns with the knowledge graph relation ""women, EXPRESSED_ANIMOSITY_TOWARDS, less smart ones,"" as the post humorously suggests women's presence somehow incapacitates a ""smart"" object, implicitly labeling them as less intelligent or competent in this context. The phrase ""doesn't turn on when the wife is in the driving seat"" is the specific element that conveys this disparaging sentiment.",1,1,2
sexism2022_english-17,"No. First my mom became a whore after dad left and was a huge bitch! Oh god, why won't she love me?!",2. derogation,3,"-(mom, STEREOTYPED_AS, whore)(relevance: 0.570661187171936)
-(your mom, STEREOTYPED_AS, filthy whore)(relevance: 0.5400377511978149)
-(mum, STEREOTYPED_AS, whore)(relevance: 0.511693000793457)","The post is classified under ""derogation"" because it uses highly offensive and demeaning language to describe a woman. Specifically, the phrase ""my mom became a whore"" directly aligns with the knowledge graph relations that identify ""whore"" as a derogatory stereotype applied to mothers. The term ""huge bitch"" further reinforces this derogation by using another insult typically associated with negative gendered stereotypes.",3,3,3
